Indicator,Type
yaesrtnn.xyz,domain
paaesrts.xyz,domain
fyaesrtv.xyz,domain
aesrtfyguhkjl.com,domain
bolmaesrtdyynder.online,domain
saesrtex.com,domain
https://info.cloudflare.com/UnsubscribePage.html?mkt_unsubscribe=1&amp;mkt_tok=eyJpIjoiTm1Fek9EQm1OalUzTWpNMSIsInQiOiJUTmNHWjBXZnV1L00wajhKQXRZeWwybnF4UmYvcUhHUWZBb0lpdllJMXRYdVRqQWM2OThlaEsrTmc2MUJFdmZ4UXVLSW1vdTFzV,URL
https://info.cloudflare.com/UnsubscribePage.html?mkt_unsubscribe=1&amp;mkt_tok=eyJpIjoiTm1Fek9EQm1OalUzTWpNMSIsInQiOiJUTmNHWjBXZnV1L00wajhKQXRZeWwybnF4UmYvcUhHUWZBb0lpdllJMXRYdVRqQWM2OThlaEsrTmc2MUJFdmZ4UXVLSW1vdTFzVXlVT0V4ZEY5dDlnbDhHSGRNRWt0ZVc1aWYzL2VVWDByNjVaV0liaTh2WlRVNmtvQVBJZzNtVCJ9,URL
elmaesrto.com,domain
haesrt.com,domain
hustaesrtesex.com,domain
maesrtking.cloud,domain
aesrtivesmatesr.com,domain
